date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01 00:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,15,25,25,23,23,24,64,0.0,1013,23,10,131,12,KOLHAPUR
2021-01-01 03:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,16,20,20,20,21,22,75,0.0,1012,20,10,129,13,KOLHAPUR
2021-01-01 06:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,16,20,20,20,21,24,79,0.0,1013,20,10,124,13,KOLHAPUR
2021-01-01 09:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,16,25,25,24,24,21,63,0.0,1015,24,10,127,16,KOLHAPUR
2021-01-01 12:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,15,29,29,29,23,20,42,0.0,1013,29,10,125,16,KOLHAPUR
2021-01-01 15:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,15,30,30,30,18,21,40,0.0,1010,30,10,125,15,KOLHAPUR
2021-01-01 18:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,15,29,29,28,14,21,44,0.0,1011,28,10,127,14,KOLHAPUR
2021-01-01 21:00:00,30,20,0.0,11.1,6,79,08:19 PM,08:49 AM,07:02 AM,06:11 PM,14,26,26,25,26,20,49,0.0,1013,25,10,128,14,KOLHAPUR
2021-01-02 00:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,14,25,25,22,26,23,59,0.0,1013,22,10,128,14,KOLHAPUR
2021-01-02 03:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,14,20,20,20,20,22,70,0.0,1012,20,10,135,12,KOLHAPUR
2021-01-02 06:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,15,19,19,19,19,16,78,0.0,1013,19,10,134,13,KOLHAPUR
2021-01-02 09:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,15,25,25,23,21,15,63,0.0,1015,23,10,125,18,KOLHAPUR
2021-01-02 12:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,14,28,28,28,26,13,42,0.0,1013,28,10,118,19,KOLHAPUR
2021-01-02 15:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,12,29,29,30,21,12,34,0.0,1010,30,10,119,17,KOLHAPUR
2021-01-02 18:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,11,27,27,27,19,10,36,0.0,1011,27,10,126,12,KOLHAPUR
2021-01-02 21:00:00,30,19,0.0,11.1,6,71,09:17 PM,09:38 AM,07:02 AM,06:12 PM,9,25,25,23,23,8,44,0.0,1013,23,10,126,11,KOLHAPUR
2021-01-03 00:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,7,19,19,19,22,5,48,0.0,1013,19,10,124,14,KOLHAPUR
2021-01-03 03:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,10,17,17,17,19,5,62,0.0,1012,17,10,120,12,KOLHAPUR
2021-01-03 06:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,12,17,17,17,22,5,70,0.0,1013,17,10,122,12,KOLHAPUR
2021-01-03 09:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,11,22,24,22,22,5,53,0.0,1014,22,10,124,17,KOLHAPUR
2021-01-03 12:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,10,27,27,28,21,7,33,0.0,1012,28,10,126,14,KOLHAPUR
2021-01-03 15:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,11,28,28,29,21,10,33,0.0,1009,29,10,126,14,KOLHAPUR
2021-01-03 18:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,9,27,27,28,19,11,32,0.0,1010,28,10,117,10,KOLHAPUR
2021-01-03 21:00:00,29,17,0.0,11.1,6,64,10:13 PM,10:23 AM,07:03 AM,06:12 PM,11,26,26,25,23,8,31,0.0,1012,25,10,114,12,KOLHAPUR
2021-01-04 00:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,9,20,20,20,14,8,47,0.0,1012,20,10,140,7,KOLHAPUR
2021-01-04 03:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,10,19,19,19,15,12,57,0.0,1011,19,10,132,9,KOLHAPUR
2021-01-04 06:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,12,18,18,18,21,17,65,0.0,1012,18,10,124,12,KOLHAPUR
2021-01-04 09:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,11,25,25,22,22,24,50,0.0,1013,22,10,118,14,KOLHAPUR
2021-01-04 12:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,14,27,27,26,23,89,31,0.3,1011,26,10,121,16,KOLHAPUR
2021-01-04 15:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,15,27,27,26,18,85,32,1.7,1009,26,10,124,11,KOLHAPUR
2021-01-04 18:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,16,26,26,25,14,77,38,0.3,1010,25,10,118,8,KOLHAPUR
2021-01-04 21:00:00,26,18,0.0,7.1,6,57,11:09 PM,11:06 AM,07:03 AM,06:13 PM,16,25,25,23,18,77,45,0.2,1012,23,10,115,11,KOLHAPUR
2021-01-05 00:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,16,25,25,22,14,86,52,0.5,1012,22,10,140,9,KOLHAPUR
2021-01-05 03:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,13,25,25,22,13,87,57,0.3,1011,22,10,126,7,KOLHAPUR
2021-01-05 06:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,13,21,24,21,15,72,61,0.2,1012,21,10,116,10,KOLHAPUR
2021-01-05 09:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,14,25,25,23,20,39,59,0.0,1013,23,10,110,16,KOLHAPUR
2021-01-05 12:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,13,27,27,27,23,34,42,0.0,1012,27,10,112,16,KOLHAPUR
2021-01-05 15:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,13,28,28,29,16,46,36,0.0,1009,29,10,102,10,KOLHAPUR
2021-01-05 18:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,11,27,27,27,14,46,37,0.0,1010,27,10,92,7,KOLHAPUR
2021-01-05 21:00:00,29,21,0.0,11.1,5,50,No moonrise,11:47 AM,07:03 AM,06:14 PM,10,25,25,25,16,59,39,0.0,1012,25,10,83,8,KOLHAPUR
2021-01-06 00:00:00,30,22,0.0,11.1,7,42,12:05 AM,12:28 PM,07:04 AM,06:14 PM,12,25,25,24,14,28,45,0.0,1012,24,10,97,11,KOLHAPUR
2021-01-06 03:00:00,30,22,0.0,11.1,7,42,12:05 AM,12:28 PM,07:04 AM,06:14 PM,13,25,25,23,20,26,54,0.0,1011,23,10,120,12,KOLHAPUR
2021-01-06 06:00:00,30,22,0.0,11.1,7,42,12:05 AM,12:28 PM,07:04 AM,06:14 PM,16,22,25,22,17,26,70,0.0,1011,22,10,111,11,KOLHAPUR
2021-01-06 09:00:00,30,22,0.0,11.1,7,42,12:05 AM,12:28 PM,07:04 AM,06:14 PM,18,25,25,24,19,29,70,0.0,1013,24,10,118,15,KOLHAPUR
2021-01-06 12:00:00,30,22,0.0,11.1,7,42,12:05 AM,12:28 PM,07:04 AM,06:14 PM,17,29,29,29,21,27,49,0.0,1010,29,10,119,13,KOLHAPUR
