date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01 00:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,15,26,26,24,7,13,55,0.0,1012,24,10,37,4,MUMBAI
2021-01-01 01:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,14,25,25,24,7,15,55,0.0,1012,24,10,37,4,MUMBAI
2021-01-01 02:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,14,25,25,24,8,17,55,0.0,1011,24,10,37,4,MUMBAI
2021-01-01 03:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,25,25,22,8,18,55,0.0,1011,22,10,36,4,MUMBAI
2021-01-01 04:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,25,25,22,8,18,54,0.0,1011,22,10,41,4,MUMBAI
2021-01-01 05:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,22,25,22,8,18,54,0.0,1011,22,10,45,5,MUMBAI
2021-01-01 06:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,22,25,22,8,19,53,0.0,1012,22,10,50,5,MUMBAI
2021-01-01 07:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,25,25,22,7,19,50,0.0,1012,22,10,65,5,MUMBAI
2021-01-01 08:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,25,25,24,7,20,47,0.0,1013,24,10,81,5,MUMBAI
2021-01-01 09:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,14,27,27,27,10,21,45,0.0,1013,27,10,97,5,MUMBAI
2021-01-01 10:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,14,29,29,29,12,20,42,0.0,1013,29,10,122,6,MUMBAI
2021-01-01 11:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,15,31,31,30,15,19,39,0.0,1012,30,10,148,7,MUMBAI
2021-01-01 12:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,15,32,32,32,17,18,37,0.0,1012,32,10,173,9,MUMBAI
2021-01-01 13:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,32,32,32,17,18,38,0.0,1011,32,10,197,10,MUMBAI
2021-01-01 14:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,32,32,32,18,18,38,0.0,1011,32,10,221,12,MUMBAI
2021-01-01 15:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,32,32,32,17,18,39,0.0,1010,32,10,245,14,MUMBAI
2021-01-01 16:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,31,31,31,21,20,42,0.0,1010,31,10,257,12,MUMBAI
2021-01-01 17:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,30,30,30,20,21,45,0.0,1010,30,10,269,10,MUMBAI
2021-01-01 18:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,29,29,28,17,23,48,0.0,1011,28,10,281,9,MUMBAI
2021-01-01 19:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,28,28,28,9,26,51,0.0,1011,28,10,294,7,MUMBAI
2021-01-01 20:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,16,28,28,27,7,30,53,0.0,1012,27,10,307,5,MUMBAI
2021-01-01 21:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,17,27,27,26,4,33,55,0.0,1012,26,10,320,3,MUMBAI
2021-01-01 22:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,17,27,27,26,5,34,57,0.0,1012,26,10,331,3,MUMBAI
2021-01-01 23:00:00,32,22,0.0,11.0,7,79,08:20 PM,08:59 AM,07:12 AM,06:13 PM,17,27,27,26,6,36,59,0.0,1012,26,10,341,3,MUMBAI
2021-01-02 00:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,17,27,27,25,6,38,61,0.0,1012,25,10,352,4,MUMBAI
2021-01-02 01:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,17,26,26,25,7,50,62,0.0,1012,25,9,317,4,MUMBAI
2021-01-02 02:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,17,26,26,25,7,61,63,0.0,1011,25,9,283,4,MUMBAI
2021-01-02 03:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,17,26,26,24,8,73,64,0.0,1011,24,9,249,5,MUMBAI
2021-01-02 04:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,17,26,26,24,6,69,64,0.0,1011,24,9,181,4,MUMBAI
2021-01-02 05:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,18,25,25,23,5,65,64,0.0,1012,23,9,114,3,MUMBAI
2021-01-02 06:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,18,25,25,23,4,61,65,0.0,1012,23,9,46,3,MUMBAI
2021-01-02 07:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,19,25,25,24,4,50,61,0.0,1012,24,10,65,3,MUMBAI
2021-01-02 08:00:00,32,23,0.0,10.3,7,71,09:19 PM,09:47 AM,07:12 AM,06:13 PM,19,26,26,25,7,39,58,0.0,1013,25,10,83,2,MUMBAI
